Species,CH,count,groupFLY,GROUPSZ,DISTFRONT,DISTBACK
UK LOON,01,1,0,1,,1
UK LOON,10,1,0,2,2,
UK LOON,01,1,0,2,,2
UK LOON,11,1,0,2,5,5
UK LOON,01,1,0,1,,5
UK LOON,10,1,0,1,1,
UK LOON,01,1,0,1,,3
UK LOON,10,1,0,1,2,
UK LOON,01,1,0,2,,6
UK LOON,11,1,0,1,3,3
UK LOON,01,1,0,2,,3
UK LOON,01,1,0,2,,3
UK LOON,01,1,0,2,,4
UK LOON,01,1,0,1,,4
UK LOON,01,1,0,1,,5
UK LOON,01,1,0,1,,2
UK LOON,01,1,0,1,,3
UK LOON,11,1,0,1,2,2
UK LOON,11,1,0,1,4,4
UK LOON,10,1,0,1,1,
UK LOON,10,1,0,2,2,
UK LOON,01,1,0,2,,1
UK LOON,10,1,0,2,2,
UK LOON,10,1,0,1,1,
UK LOON,10,1,0,2,1,
UK LOON,01,1,0,1,,3
UK LOON,10,1,0,1,1,
UK LOON,01,1,0,2,,6
UK LOON,10,1,0,2,1,
UK LOON,01,1,0,1,,2
UK LOON,10,1,0,1,3,
UK LOON,01,1,0,2,,5
UK LOON,01,1,0,1,,2
UK LOON,01,1,0,2,,4
UNK,01,1,1,1,,5
WFGO,01,1,1,2,,4
WFGO,01,1,1,3,,3
WFGO,10,1,1,2,3,
WFGO,10,1,0,2,4,
WFGO,01,1,1,9,,5
WFGO,11,1,1,2,2,2
WFGO,11,1,1,2,4,4
WFGO,01,1,1,2,,3
WFGO,10,1,1,2,3,
WFGO,10,1,1,2,3,
WFGO,10,1,1,1,5,
WFGO,10,1,1,2,5,
WFGO,01,1,1,4,,6
WFGO,11,1,1,3,1,5
WFGO,11,1,1,2,5,6
WFGO,11,1,1,2,4,4
WFGO,10,1,1,1,1,
WFGO,10,1,1,2,4,
WFGO,10,1,1,2,1,
WFGO,11,1,1,2,5,5
WFGO,10,1,1,2,1,
WFGO,10,1,1,4,1,
WFGO,10,1,1,2,1,
WFGO,10,1,1,2,5,
WFGO,11,1,0,1,3,3
WFGO,11,1,1,1,1,1
WFGO,10,1,1,8,4,
WFGO,01,1,1,1,,2
WFGO,11,1,1,2,4,4
WFGO,10,1,1,2,1,
WFGO,10,1,1,2,5,
WFGO,10,1,1,2,6,
WFGO,11,1,1,2,5,5
WFGO,10,1,1,1,3,
WFGO,10,1,1,2,1,
WFGO,11,1,1,3,2,3
WFGO,11,1,1,2,4,4
WFGO,11,1,1,2,3,3
WFGO,10,1,1,1,1,
WFGO,10,1,1,3,3,
WFGO,10,1,1,1,1,
WFGO,10,1,0,2,4,
WFGO,01,1,1,5,,5
WFGO,10,1,0,2,1,
WFGO,11,1,1,2,4,4
WFGO,11,1,1,3,2,2
WFGO,10,1,1,2,1,
WFGO,11,1,1,1,2,3
WFGO,01,1,1,3,,6
WFGO,11,1,1,2,5,5
WFGO,11,1,1,2,3,3
WFGO,01,1,1,1,,4
WFGO,10,1,1,1,1,
WFGO,11,1,1,2,2,4
WFGO,10,1,1,2,1,
WFGO,10,1,1,2,2,
WFGO,10,1,1,1,1,
WFGO,11,1,1,1,2,3
WFGO,11,1,1,14,6,5
WFGO,10,1,1,3,1,
WFGO,10,1,1,2,1,
WFGO,10,1,1,6,1,
WFGO,01,1,1,13,,6
WFGO,01,1,1,4,,3
WFGO,10,1,1,4,2,
WFGO,01,1,1,3,,6
WFGO,11,1,1,3,4,4
WFGO,10,1,1,2,2,
WFGO,11,1,1,2,3,3
WFGO,01,1,1,10,,1
WFGO,11,1,1,9,1,1
WFGO,11,1,1,2,4,4
WFGO,10,1,1,4,2,
WFGO,10,1,1,20,2,
WFGO,10,1,1,2,2,
WFGO,11,1,1,1,4,4
WFGO,11,1,1,2,3,3
WFGO,11,1,1,4,6,6
WFGO,10,1,1,4,2,
WFGO,11,1,1,1,5,5
WFGO,01,1,1,3,,4
WFGO,01,1,1,4,,6
WFGO,10,1,1,1,2,
WFGO,11,1,1,2,4,4
WFGO,11,1,1,4,2,2
WFGO,01,1,1,1,,3
WFGO,11,1,1,4,2,2
WFGO,11,1,1,2,3,3
WFGO,11,1,1,7,4,4
WFGO,01,1,1,2,,2
WFGO,11,1,1,1,2,2
WFGO,11,1,1,2,2,3
WFGO,01,1,1,4,,6
WFGO,11,1,1,2,2,4
WFGO,11,1,1,3,4,4
WFGO,01,1,1,2,,3
WFGO,11,1,1,6,2,2
WFGO,01,1,0,2,,2
WFGO,11,1,1,3,3,3
WFGO,11,1,1,2,3,3
WFGO,01,1,1,2,,1
WFGO,10,1,1,2,2,
WFGO,10,1,1,2,1,
WFGO,11,1,1,3,2,2
WFGO,11,1,1,2,4,4
WFGO,10,1,0,1,1,
WFGO,01,1,0,2,,3
WFGO,01,1,1,2,,4
WFGO,01,1,1,5,,2
WFGO,11,1,1,2,4,4
WFGO,11,1,1,3,3,3
WFGO,10,1,1,4,4,
WFGO,01,1,1,2,,3
WFGO,01,1,1,5,,5
WFGO,01,1,1,3,,4
WFGO,01,1,1,2,,4
WFGO,10,1,1,3,1,
WFGO,10,1,1,1,2,
WFGO,11,1,1,2,2,2
WFGO,11,1,1,2,2,3
WFGO,11,1,1,7,4,4
WFGO,11,1,1,2,3,3
WFGO,01,1,1,3,,4
WFGO,11,1,1,1,3,3
WFGO,11,1,1,2,2,3
WFGO,11,1,1,6,3,3
WFGO,01,1,1,2,,4
WFGO,11,1,1,2,5,6
WFGO,11,1,1,3,4,4
WFGO,11,1,1,2,5,5
WFGO,11,1,1,2,2,2
WFGO,11,1,1,2,2,2
WFGO,01,1,1,12,,3
WFGO,10,1,1,6,2,
WFGO,11,1,1,10,5,5
WFGO,11,1,1,12,6,6
WFGO,10,1,1,3,2,
WFGO,10,1,1,4,1,
WFGO,11,1,1,6,2,6
WFGO,10,1,1,2,2,
WFGO,01,1,1,12,,6
WFGO,10,1,1,1,4,
WFGO,11,1,1,3,6,6
WFGO,11,1,1,9,4,4
WFGO,11,1,1,2,5,5
WFGO,11,1,1,1,2,2
WFGO,11,1,1,2,2,2
WFGO,10,1,1,2,3,
WFGO,01,1,1,6,,6
WFGO,01,1,1,1,,4
WFGO,10,1,1,2,4,
WFGO,10,1,1,1,1,
WFGO,01,1,1,2,,4
WFGO,10,1,1,2,1,
WFGO,11,1,1,1,2,3
WFGO,10,1,1,1,1,
WFGO,11,1,1,1,1,2
WFGO,11,1,1,2,2,2
WFGO,01,1,1,2,,6
WFGO,11,1,1,1,1,2
WFGO,10,1,1,2,1,
WFGO,10,1,1,6,2,
WFGO,10,1,1,6,1,
WFGO,10,1,1,1,4,
WFGO,11,1,1,1,2,2
WFGO,10,1,1,2,1,
WFGO,11,1,1,1,2,2
WFGO,10,1,0,4,2,
WFGO,01,1,1,5,,2
WFGO,11,1,1,1,2,2
WFGO,10,1,1,2,1,
WFGO,11,1,1,7,1,3
WFGO,10,1,1,2,1,
WFGO,11,1,1,1,4,2
WFGO,11,1,1,8,1,2
WFGO,11,1,1,2,1,2
WFGO,11,1,1,1,2,4
WFGO,01,1,1,1,,4
WFGO,11,1,1,6,1,1
WFGO,11,1,1,2,2,2
WFGO,01,1,1,2,,4
WFGO,01,1,1,2,,4
WFGO,01,1,1,2,,5
WFGO,11,1,1,1,2,3
WFGO,10,1,1,2,1,
WFGO,10,1,1,2,2,
WFGO,10,1,1,2,1,
WFGO,11,1,1,2,2,4
WFGO,01,1,1,1,,2
WFGO,10,1,1,1,1,
WFGO,10,1,1,2,1,
WFGO,11,1,1,3,1,3
WFGO,01,1,1,2,,3
WFGO,10,1,1,2,1,
WFGO,01,1,1,1,,2
WFGO,11,1,1,2,2,1
WFGO,10,1,1,2,1,
WFGO,11,1,1,2,1,3
WFGO,11,1,1,2,1,3
WFGO,11,1,1,2,1,3
WFGO,11,1,1,2,4,4
WFGO,11,1,1,2,2,3
WFGO,11,1,1,2,1,2
WFGO,01,1,1,1,,4
WFGO,10,1,1,4,6,
WFGO,10,1,1,2,2,
WFGO,10,1,1,2,2,
WFGO,11,1,1,1,3,3
WFGO,11,1,1,3,4,4
WFGO,01,1,1,2,,4
WFGO,01,1,1,1,,2
WFGO,10,1,1,4,5,
WFGO,01,1,1,2,,3
WFGO,01,1,0,1,,4
WFGO,10,1,1,2,5,
WFGO,01,1,1,2,,4
WFGO,01,1,1,5,,5
WFGO,01,1,1,1,,6
WFGO,10,1,1,6,1,
WFGO,11,1,1,13,2,4
WFGO,01,1,1,18,,3
WFGO,10,1,1,2,4,
WFGO,11,1,1,2,2,2
WFGO,11,1,1,2,5,5
WFGO,01,1,1,2,,2
WFGO,01,1,1,15,,6
WFGO,10,1,1,5,1,
WFGO,11,1,1,9,4,4
WFGO,10,1,1,2,3,
WFGO,01,1,1,6,,3
WFGO,11,1,1,10,2,2
WFGO,10,1,1,2,4,
WFGO,01,1,1,5,,2
WFGO,11,1,1,2,2,2
WFGO,01,1,1,2,,4
WFGO,11,1,1,4,2,2
WFGO,01,1,1,2,,5
WFGO,10,1,1,2,1,
WFGO,10,1,1,1,1,
WFGO,11,1,1,18,2,3
WFGO,11,1,1,4,2,2
WFGO,01,1,1,8,,4
WFGO,10,1,1,1,2,
WFGO,11,1,1,1,4,4
WFGO,11,1,1,2,2,2
WFGO,01,1,0,1,,5
WFGO,01,1,1,1,,4
WFGO,10,1,1,6,5,
WFGO,01,1,1,1,,5
WFGO,11,1,1,3,4,4
WFGO,01,1,1,1,,6
WFGO,01,1,1,2,,4
WFGO,11,1,1,2,2,2
WFGO,11,1,1,3,5,5
WFGO,11,1,1,2,5,5
WFGO,01,1,1,1,,1
WFGO,10,1,1,3,1,
WFGO,10,1,1,2,2,
WFGO,01,1,1,1,,5
WFGO,11,1,1,1,1,2
WFGO,11,1,1,2,2,2
WFGO,11,1,0,2,4,4
WFGO,10,1,1,2,3,
WFGO,01,1,0,2,,3
WFGO,10,1,1,1,1,
WFGO,11,1,1,2,5,5
WFGO,01,1,1,1,,5
WFGO,10,1,1,3,1,
WFGO,10,1,1,1,1,
WFGO,10,1,1,2,1,
WFGO,11,1,1,6,3,3
WFGO,11,1,1,21,5,5
WFGO,10,1,1,1,3,
WFGO,11,1,1,1,2,2
WFGO,01,1,1,2,,3
WFGO,01,1,1,2,,4
WFGO,11,1,1,1,2,1
WFGO,11,1,1,6,4,4
WFGO,10,1,1,2,5,
WFGO,11,1,1,2,4,4
WFGO,01,1,1,4,,6
WFGO,10,1,1,4,3,
WFGO,01,1,1,1,,5
WFGO,11,1,1,3,2,2
WFGO,11,1,1,2,6,6
WFGO,11,1,1,2,1,2
WFGO,01,1,1,4,,2
WFGO,11,1,1,2,5,6
WFGO,11,1,1,2,5,5
WFGO,01,1,1,1,,4
WFGO,11,1,1,2,3,3
WFGO,11,1,1,3,3,3
WFGO,10,1,1,1,2,
WFGO,11,1,1,2,4,4
WFGO,11,1,0,2,4,4
WFGO,11,1,1,1,5,5
WFGO,11,1,1,1,4,4
WFGO,11,1,1,2,3,3
WFGO,01,1,1,2,,4
